date,tem,heart,oxy
2023/8/31 8:40,36.5,84,99
2023/8/31 8:45,36.5,82,99
2023/8/31 8:50,36.5,78,99
2023/8/31 8:55,36.5,85,99
2023/8/31 9:00,36.5,86,99
2023/8/31 9:05,36.55714285714286,84,99
2023/8/31 9:10,36.614285714285714,84,99
2023/8/31 9:15,36.67142857142857,86,99
2023/8/31 9:20,36.72857142857143,84,99
2023/8/31 9:25,36.785714285714285,86,99
2023/8/31 9:30,36.84285714285714,85,99
2023/8/31 9:35,36.9,90,99
2023/8/31 9:40,36.9,86,99
2023/8/31 9:45,36.9,101.75,99
2023/8/31 9:50,36.9,110.5,99
2023/8/31 9:55,36.9,104,99
2023/8/31 10:00,36.9,91,99
2023/8/31 10:05,36.857142857142854,86,99
2023/8/31 10:10,36.81428571428572,85,99
2023/8/31 10:15,36.77142857142857,86.5,99
2023/8/31 10:20,36.72857142857143,83,99
2023/8/31 10:25,36.68571428571428,87,99
2023/8/31 10:30,36.642857142857146,92,99
2023/8/31 10:35,36.6,98,99
2023/8/31 10:40,36.6,83,99
2023/8/31 10:45,36.6,102,99
2023/8/31 10:50,36.6,81,99
2023/8/31 10:55,36.6,79,99
2023/8/31 11:00,36.6,96,99
2023/8/31 11:05,36.6,85,99.09090909
2023/8/31 11:10,36.6,81,99.18181818181819
2023/8/31 11:15,36.6,82,99.27272727272727
2023/8/31 11:20,36.6,80,99.36363636363636
2023/8/31 11:25,36.6,89,99.45454545454545
2023/8/31 11:30,36.6,78,99.54545454545455
2023/8/31 11:35,36.6,75,99.63636363636364
2023/8/31 11:40,36.6,86,99.72727272727273
2023/8/31 11:45,36.6,80.33333333333333,99.81818181818181
2023/8/31 11:50,36.6,77,99.90909091
2023/8/31 11:55,36.6,81,100
2023/8/31 12:00,36.6,83,100
2023/8/31 12:05,36.6,76,99.90909091
2023/8/31 12:10,36.6,87,99.81818181818181
2023/8/31 12:15,36.6,83,99.72727272727273
2023/8/31 12:20,36.6,82,99.63636363636364
2023/8/31 12:25,36.6,88,99.54545454545455
2023/8/31 12:30,36.6,109,99.45454545454545
2023/8/31 12:35,36.6,102,99.36363636363636
2023/8/31 12:40,36.6,114,99.27272727272727
2023/8/31 12:45,36.6,119,99.18181818181819
2023/8/31 12:50,36.6,93,99.09090909
2023/8/31 12:55,36.6,86,99
2023/8/31 13:00,36.6,86,99
2023/8/31 13:05,36.6,87,99
2023/8/31 13:10,36.6,81,99
2023/8/31 13:15,36.6,83,99
2023/8/31 13:20,36.6,82,99
2023/8/31 13:25,36.6,81,99
2023/8/31 13:30,36.6,80,99
2023/8/31 13:35,36.6,78,99
2023/8/31 13:40,36.6,75.5,99
2023/8/31 13:45,36.6,73,99
2023/8/31 13:50,36.6,74,99
2023/8/31 13:55,36.6,71,99
2023/8/31 14:00,36.6,73,99
2023/8/31 14:05,36.6,71,98.5
2023/8/31 14:10,36.6,82.33333333333333,98
2023/8/31 14:15,36.6,83,98
2023/8/31 14:20,36.6,95,98
2023/8/31 14:25,36.6,130,98
2023/8/31 14:30,36.6,84,98
2023/8/31 14:35,36.6,86,98
2023/8/31 14:40,36.6,101.5,98
2023/8/31 14:45,36.6,94,98
2023/8/31 14:50,36.6,104,98
2023/8/31 14:55,36.6,96,98
2023/8/31 15:00,36.6,95,98
2023/8/31 15:05,36.58571428571429,95,98
2023/8/31 15:10,36.57142857142857,88.33333333333333,98
2023/8/31 15:15,36.55714285714286,95,98
2023/8/31 15:20,36.542857142857144,98,98
2023/8/31 15:25,36.52857142857143,99,98
2023/8/31 15:30,36.51428571428571,103,98
2023/8/31 15:35,36.5,98,98
2023/8/31 15:40,36.5,97.66666666666667,98
2023/8/31 15:45,36.5,100,98
2023/8/31 15:50,36.5,90,98
2023/8/31 15:55,36.5,88,98
2023/8/31 16:00,36.5,95,98
2023/8/31 16:05,36.5,104.33333333333333,98
2023/8/31 16:10,36.5,99,98
2023/8/31 16:15,36.5,98,98
2023/8/31 16:20,36.5,124,98
2023/8/31 16:25,36.5,109,98
2023/8/31 16:30,36.5,107,98
2023/8/31 16:35,36.5,98.5,98
2023/8/31 16:40,36.5,103,98
2023/8/31 16:45,36.5,95,98
2023/8/31 16:50,36.5,101,98
2023/8/31 16:55,36.5,89,98
